"","Origin","destination","Year","Value"
"Germany.POL.2004","Germany","POL",2004,"1 308"
"Greece.POL.2004","Greece","POL",2004,"3"
"Hungary.POL.2004","Hungary","POL",2004,"163"
"Ireland.POL.2004","Ireland","POL",2004,"172"
"Italy.POL.2004","Italy","POL",2004,"542"
"Latvia.POL.2004","Latvia","POL",2004,"0"
"Lithuania.POL.2004","Lithuania","POL",2004,"- -1"
"Luxembourg.POL.2004","Luxembourg","POL",2004,"243"
"Malta.POL.2004","Malta","POL",2004,"13"
"Netherlands.POL.2004","Netherlands","POL",2004,"2 416"
"Portugal.POL.2004","Portugal","POL",2004,"61"
"Romania.POL.2004","Romania","POL",2004,"- -20"
"Slovakia.POL.2004","Slovakia","POL",2004,"- -4"
"Slovenia.POL.2004","Slovenia","POL",2004,"53"
"Spain.POL.2004","Spain","POL",2004,"504"
"Sweden.POL.2004","Sweden","POL",2004,"615"
"United Kingdom.POL.2004","United Kingdom","POL",2004,"327"
"Andorra.POL.2004","Andorra","POL",2004,"0"
"Gibraltar.POL.2004","Gibraltar","POL",2004,"0"
"Guernsey.POL.2004","Guernsey","POL",2004,"0"
"Iceland.POL.2004","Iceland","POL",2004,"0"
"Isle of Man.POL.2004","Isle of Man","POL",2004,"0"
"Jersey.POL.2004","Jersey","POL",2004,"0"
"Liechtenstein.POL.2004","Liechtenstein","POL",2004,"-- 237"
"Norway.POL.2004","Norway","POL",2004,"110"
"Switzerland.POL.2004","Switzerland","POL",2004,"377"
"Canada.POL.2004","Canada","POL",2004,"5"
"United States.POL.2004","United States","POL",2004,"141"
"Australia.POL.2004","Australia","POL",2004,"- -9"
"Bermuda.POL.2004","Bermuda","POL",2004,"0"
"Israel.POL.2004","Israel","POL",2004,"10"
"Japan.POL.2004","Japan","POL",2004,"186"
"New Zealand.POL.2004","New Zealand","POL",2004,"- -0"
"Egypt.POL.2004","Egypt","POL",2004,"1"
"Morocco.POL.2004","Morocco","POL",2004,"1"
"Tunisia.POL.2004","Tunisia","POL",2004,"0"
"Cape Verde.POL.2004","Cape Verde","POL",2004,"0"
"Eritrea.POL.2004","Eritrea","POL",2004,"0"
"Kenya.POL.2004","Kenya","POL",2004,"0"
"Mauritius.POL.2004","Mauritius","POL",2004,"0"
"Namibia.POL.2004","Namibia","POL",2004,"0"
"Niger.POL.2004","Niger","POL",2004,"0"
"Seychelles.POL.2004","Seychelles","POL",2004,"0"
"South Africa.POL.2004","South Africa","POL",2004,"- -3"
"Swaziland.POL.2004","Swaziland","POL",2004,"0"
"China.POL.2004","China","POL",2004,"3"
"Hong Kong, China.POL.2004","Hong Kong, China","POL",2004,"8"
"Korea, Republic of.POL.2004","Korea, Republic of","POL",2004,"208"
"Taiwan Province of China.POL.2004","Taiwan Province of China","POL",2004,"3"
"Indonesia.POL.2004","Indonesia","POL",2004,"1"
"Malaysia.POL.2004","Malaysia","POL",2004,"4"
"Philippines.POL.2004","Philippines","POL",2004,"7"
"Singapore.POL.2004","Singapore","POL",2004,"9"
"Thailand.POL.2004","Thailand","POL",2004,"- -3"
"Viet Nam.POL.2004","Viet Nam","POL",2004,"0"
"India.POL.2004","India","POL",2004,"6"
"Iran, Islamic Republic of.POL.2004","Iran, Islamic Republic of","POL",2004,"0"
"Bahrain.POL.2004","Bahrain","POL",2004,"0"
"Kuwait.POL.2004","Kuwait","POL",2004,"0"
"Lebanon.POL.2004","Lebanon","POL",2004,"0"
"Saudi Arabia.POL.2004","Saudi Arabia","POL",2004,"0"
"Syrian Arab Republic.POL.2004","Syrian Arab Republic","POL",2004,"0"
"Turkey.POL.2004","Turkey","POL",2004,"26"
"United Arab Emirates.POL.2004","United Arab Emirates","POL",2004,"0"
"Argentina.POL.2004","Argentina","POL",2004,"- -2"
"Brazil.POL.2004","Brazil","POL",2004,"- -5"
"Chile.POL.2004","Chile","POL",2004,"- -1"
"Ecuador.POL.2004","Ecuador","POL",2004,"0"
"Uruguay.POL.2004","Uruguay","POL",2004,"- -1"
"Venezuela, Bolivarian Rep. of.POL.2004","Venezuela, Bolivarian Rep. of","POL",2004,"0"
"Costa Rica.POL.2004","Costa Rica","POL",2004,"0"
"Mexico.POL.2004","Mexico","POL",2004,"0"
"Nicaragua.POL.2004","Nicaragua","POL",2004,"0"
"Panama.POL.2004","Panama","POL",2004,"0"
"Barbados.POL.2004","Barbados","POL",2004,"0"
"British Virgin Islands.POL.2004","British Virgin Islands","POL",2004,"0"
"Cayman Islands.POL.2004","Cayman Islands","POL",2004,"0"
"Netherlands Antilles.POL.2004","Netherlands Antilles","POL",2004,"0"
"Saint Kitts and Nevis.POL.2004","Saint Kitts and Nevis","POL",2004,"0"
"Turks and Caicos Islands.POL.2004","Turks and Caicos Islands","POL",2004,"0"
"US Virgin Islands.POL.2004","US Virgin Islands","POL",2004,"0"
"Marshall Islands.POL.2004","Marshall Islands","POL",2004,"0"
"Serbia.POL.2004","Serbia","POL",2004,"0"
"Serbia and Montenegro.POL.2004","Serbia and Montenegro","POL",2004,"- -7"
"The FYR of Macedonia.POL.2004","The FYR of Macedonia","POL",2004,"0"
"CIS.POL.2004","CIS","POL",2004,"-- 681"
"Belarus.POL.2004","Belarus","POL",2004,"0"
"Kazakhstan.POL.2004","Kazakhstan","POL",2004,"0"
"Moldova, Republic of.POL.2004","Moldova, Republic of","POL",2004,"0"
"Russian Federation.POL.2004","Russian Federation","POL",2004,"-- 689"
"Ukraine.POL.2004","Ukraine","POL",2004,"9"
"Georgia.POL.2004","Georgia","POL",2004,"0"
"Austria.POL.2005","Austria","POL",2005,"714"
"Belgium.POL.2005","Belgium","POL",2005,"89"
"Bulgaria.POL.2005","Bulgaria","POL",2005,"- -2"
"Croatia.POL.2005","Croatia","POL",2005,"5"
"Cyprus.POL.2005","Cyprus","POL",2005,"92"
"Czech Republic.POL.2005","Czech Republic","POL",2005,"16"
"Denmark.POL.2005","Denmark","POL",2005,"611"
"Estonia.POL.2005","Estonia","POL",2005,"4"
"Finland.POL.2005","Finland","POL",2005,"554"
"France.POL.2005","France","POL",2005,"- -24"
"Germany.POL.2005","Germany","POL",2005,"2 083"
"Greece.POL.2005","Greece","POL",2005,"9"
"Hungary.POL.2005","Hungary","POL",2005,"-- 192"
"Ireland.POL.2005","Ireland","POL",2005,"150"
"Italy.POL.2005","Italy","POL",2005,"214"
"Latvia.POL.2005","Latvia","POL",2005,"8"
"Lithuania.POL.2005","Lithuania","POL",2005,"4"
"Luxembourg.POL.2005","Luxembourg","POL",2005,"2 089"
"Malta.POL.2005","Malta","POL",2005,"- -10"
"Netherlands.POL.2005","Netherlands","POL",2005,"515"
"Portugal.POL.2005","Portugal","POL",2005,"102"
"Romania.POL.2005","Romania","POL",2005,"15"
"Slovakia.POL.2005","Slovakia","POL",2005,"15"
"Slovenia.POL.2005","Slovenia","POL",2005,"- -11"
"Spain.POL.2005","Spain","POL",2005,"236"
"Sweden.POL.2005","Sweden","POL",2005,"567"
"United Kingdom.POL.2005","United Kingdom","POL",2005,"525"
"Andorra.POL.2005","Andorra","POL",2005,"0"
"Gibraltar.POL.2005","Gibraltar","POL",2005,"0"
"Guernsey.POL.2005","Guernsey","POL",2005,"0"
"Iceland.POL.2005","Iceland","POL",2005,"4"
"Isle of Man.POL.2005","Isle of Man","POL",2005,"0"
"Jersey.POL.2005","Jersey","POL",2005,"0"
"Liechtenstein.POL.2005","Liechtenstein","POL",2005,"77"
"Norway.POL.2005","Norway","POL",2005,"- -56"
"Switzerland.POL.2005","Switzerland","POL",2005,"303"
"Canada.POL.2005","Canada","POL",2005,"9"
"United States.POL.2005","United States","POL",2005,"800"
"Australia.POL.2005","Australia","POL",2005,"8"
"Bermuda.POL.2005","Bermuda","POL",2005,"0"
"Israel.POL.2005","Israel","POL",2005,"17"
"Japan.POL.2005","Japan","POL",2005,"298"
"New Zealand.POL.2005","New Zealand","POL",2005,"- -0"
"Egypt.POL.2005","Egypt","POL",2005,"- -1"
"Morocco.POL.2005","Morocco","POL",2005,"- -3"
"Tunisia.POL.2005","Tunisia","POL",2005,"0"
"Cape Verde.POL.2005","Cape Verde","POL",2005,"0"
"Eritrea.POL.2005","Eritrea","POL",2005,"0"
"Kenya.POL.2005","Kenya","POL",2005,"0"
"Mauritius.POL.2005","Mauritius","POL",2005,"0"
"Namibia.POL.2005","Namibia","POL",2005,"0"
"Niger.POL.2005","Niger","POL",2005,"0"
"Seychelles.POL.2005","Seychelles","POL",2005,"0"
"South Africa.POL.2005","South Africa","POL",2005,"- -3"
"Swaziland.POL.2005","Swaziland","POL",2005,"0"
"China.POL.2005","China","POL",2005,"46"
"Hong Kong, China.POL.2005","Hong Kong, China","POL",2005,"21"
"Korea, Republic of.POL.2005","Korea, Republic of","POL",2005,"- -48"
"Taiwan Province of China.POL.2005","Taiwan Province of China","POL",2005,"4"
"Indonesia.POL.2005","Indonesia","POL",2005,"- -1"
"Malaysia.POL.2005","Malaysia","POL",2005,"15"
"Philippines.POL.2005","Philippines","POL",2005,"- -4"
"Singapore.POL.2005","Singapore","POL",2005,"3"
"Thailand.POL.2005","Thailand","POL",2005,"- -1"
"Viet Nam.POL.2005","Viet Nam","POL",2005,"0"
"India.POL.2005","India","POL",2005,"4"
"Iran, Islamic Republic of.POL.2005","Iran, Islamic Republic of","POL",2005,"0"
"Bahrain.POL.2005","Bahrain","POL",2005,"0"
"Kuwait.POL.2005","Kuwait","POL",2005,"0"
"Lebanon.POL.2005","Lebanon","POL",2005,"0"
"Saudi Arabia.POL.2005","Saudi Arabia","POL",2005,"0"
"Syrian Arab Republic.POL.2005","Syrian Arab Republic","POL",2005,"0"
"Turkey.POL.2005","Turkey","POL",2005,"- -28"
"United Arab Emirates.POL.2005","United Arab Emirates","POL",2005,"0"
"Argentina.POL.2005","Argentina","POL",2005,"- -1"
"Brazil.POL.2005","Brazil","POL",2005,"3"
"Chile.POL.2005","Chile","POL",2005,"0"
"Ecuador.POL.2005","Ecuador","POL",2005,"0"
"Uruguay.POL.2005","Uruguay","POL",2005,"0"
"Venezuela, Bolivarian Rep. of.POL.2005","Venezuela, Bolivarian Rep. of","POL",2005,"0"
"Costa Rica.POL.2005","Costa Rica","POL",2005,"0"
"Mexico.POL.2005","Mexico","POL",2005,"- -4"
"Nicaragua.POL.2005","Nicaragua","POL",2005,"0"
"Panama.POL.2005","Panama","POL",2005,"0"
"Barbados.POL.2005","Barbados","POL",2005,"0"
"British Virgin Islands.POL.2005","British Virgin Islands","POL",2005,"0"
"Cayman Islands.POL.2005","Cayman Islands","POL",2005,"0"
"Netherlands Antilles.POL.2005","Netherlands Antilles","POL",2005,"0"
"Saint Kitts and Nevis.POL.2005","Saint Kitts and Nevis","POL",2005,"0"
"Turks and Caicos Islands.POL.2005","Turks and Caicos Islands","POL",2005,"0"
"US Virgin Islands.POL.2005","US Virgin Islands","POL",2005,"0"
"Marshall Islands.POL.2005","Marshall Islands","POL",2005,"0"
"Serbia.POL.2005","Serbia","POL",2005,"0"
"Serbia and Montenegro.POL.2005","Serbia and Montenegro","POL",2005,"4"
"The FYR of Macedonia.POL.2005","The FYR of Macedonia","POL",2005,"0"
"CIS.POL.2005","CIS","POL",2005,"277"
"Belarus.POL.2005","Belarus","POL",2005,"0"
"Kazakhstan.POL.2005","Kazakhstan","POL",2005,"0"
"Moldova, Republic of.POL.2005","Moldova, Republic of","POL",2005,"0"
"Russian Federation.POL.2005","Russian Federation","POL",2005,"35"
"Ukraine.POL.2005","Ukraine","POL",2005,"241"
"Georgia.POL.2005","Georgia","POL",2005,"0"
"Austria.POL.2006","Austria","POL",2006,"-- 519"
"Belgium.POL.2006","Belgium","POL",2006,"263"
"Bulgaria.POL.2006","Bulgaria","POL",2006,"- -3"
"Croatia.POL.2006","Croatia","POL",2006,"0"
"Cyprus.POL.2006","Cyprus","POL",2006,"38"
"Czech Republic.POL.2006","Czech Republic","POL",2006,"28"
"Denmark.POL.2006","Denmark","POL",2006,"235"
"Estonia.POL.2006","Estonia","POL",2006,"5"
"Finland.POL.2006","Finland","POL",2006,"23"
"France.POL.2006","France","POL",2006,"1 054"
"Germany.POL.2006","Germany","POL",2006,"3 516"
"Greece.POL.2006","Greece","POL",2006,"19"
"Hungary.POL.2006","Hungary","POL",2006,"160"
"Ireland.POL.2006","Ireland","POL",2006,"417"
"Italy.POL.2006","Italy","POL",2006,"1 794"
"Latvia.POL.2006","Latvia","POL",2006,"6"
"Lithuania.POL.2006","Lithuania","POL",2006,"88"
"Luxembourg.POL.2006","Luxembourg","POL",2006,"4 565"
"Malta.POL.2006","Malta","POL",2006,"33"
"Netherlands.POL.2006","Netherlands","POL",2006,"1 688"
"Portugal.POL.2006","Portugal","POL",2006,"472"
"Romania.POL.2006","Romania","POL",2006,"- -18"
"Slovakia.POL.2006","Slovakia","POL",2006,"- -8"
"Slovenia.POL.2006","Slovenia","POL",2006,"13"
"Spain.POL.2006","Spain","POL",2006,"1 427"
"Sweden.POL.2006","Sweden","POL",2006,"345"
"United Kingdom.POL.2006","United Kingdom","POL",2006,"1 466"
"Andorra.POL.2006","Andorra","POL",2006,"0"
"Gibraltar.POL.2006","Gibraltar","POL",2006,"0"
"Guernsey.POL.2006","Guernsey","POL",2006,"0"
"Iceland.POL.2006","Iceland","POL",2006,"0"
"Isle of Man.POL.2006","Isle of Man","POL",2006,"0"
"Jersey.POL.2006","Jersey","POL",2006,"0"
"Liechtenstein.POL.2006","Liechtenstein","POL",2006,"- -86"
"Norway.POL.2006","Norway","POL",2006,"- -97"
"Switzerland.POL.2006","Switzerland","POL",2006,"706"
"Canada.POL.2006","Canada","POL",2006,"76"
"United States.POL.2006","United States","POL",2006,"495"
"Australia.POL.2006","Australia","POL",2006,"- -5"
"Bermuda.POL.2006","Bermuda","POL",2006,"0"
"Israel.POL.2006","Israel","POL",2006,"- -8"
"Japan.POL.2006","Japan","POL",2006,"318"
"New Zealand.POL.2006","New Zealand","POL",2006,"0"
"Egypt.POL.2006","Egypt","POL",2006,"0"
"Morocco.POL.2006","Morocco","POL",2006,"0"
"Tunisia.POL.2006","Tunisia","POL",2006,"0"
"Cape Verde.POL.2006","Cape Verde","POL",2006,"0"
"Eritrea.POL.2006","Eritrea","POL",2006,"0"
"Kenya.POL.2006","Kenya","POL",2006,"0"
"Mauritius.POL.2006","Mauritius","POL",2006,"0"
"Namibia.POL.2006","Namibia","POL",2006,"0"
"Niger.POL.2006","Niger","POL",2006,"0"
"Seychelles.POL.2006","Seychelles","POL",2006,"0"
"South Africa.POL.2006","South Africa","POL",2006,"0"
"Swaziland.POL.2006","Swaziland","POL",2006,"0"
"China.POL.2006","China","POL",2006,"25"
"Hong Kong, China.POL.2006","Hong Kong, China","POL",2006,"0"
"Korea, Republic of.POL.2006","Korea, Republic of","POL",2006,"522"
"Taiwan Province of China.POL.2006","Taiwan Province of China","POL",2006,"8"
"Indonesia.POL.2006","Indonesia","POL",2006,"- -3"
"Malaysia.POL.2006","Malaysia","POL",2006,"- -1"
"Philippines.POL.2006","Philippines","POL",2006,"- -1"
"Singapore.POL.2006","Singapore","POL",2006,"115"
"Thailand.POL.2006","Thailand","POL",2006,"5"
"Viet Nam.POL.2006","Viet Nam","POL",2006,"0"
"India.POL.2006","India","POL",2006,"- -9"
"Iran, Islamic Republic of.POL.2006","Iran, Islamic Republic of","POL",2006,"0"
"Bahrain.POL.2006","Bahrain","POL",2006,"0"
"Kuwait.POL.2006","Kuwait","POL",2006,"0"
"Lebanon.POL.2006","Lebanon","POL",2006,"0"
"Saudi Arabia.POL.2006","Saudi Arabia","POL",2006,"0"
"Syrian Arab Republic.POL.2006","Syrian Arab Republic","POL",2006,"0"
"Turkey.POL.2006","Turkey","POL",2006,"13"
"United Arab Emirates.POL.2006","United Arab Emirates","POL",2006,"0"
"Argentina.POL.2006","Argentina","POL",2006,"- -7"
"Brazil.POL.2006","Brazil","POL",2006,"2"
"Chile.POL.2006","Chile","POL",2006,"2"
"Ecuador.POL.2006","Ecuador","POL",2006,"0"
"Uruguay.POL.2006","Uruguay","POL",2006,"- -2"
"Venezuela, Bolivarian Rep. of.POL.2006","Venezuela, Bolivarian Rep. of","POL",2006,"0"
"Costa Rica.POL.2006","Costa Rica","POL",2006,"0"
"Mexico.POL.2006","Mexico","POL",2006,"6"
"Nicaragua.POL.2006","Nicaragua","POL",2006,"0"
"Panama.POL.2006","Panama","POL",2006,"0"
"Barbados.POL.2006","Barbados","POL",2006,"0"
"British Virgin Islands.POL.2006","British Virgin Islands","POL",2006,"0"
"Cayman Islands.POL.2006","Cayman Islands","POL",2006,"0"
"Netherlands Antilles.POL.2006","Netherlands Antilles","POL",2006,"0"
"Saint Kitts and Nevis.POL.2006","Saint Kitts and Nevis","POL",2006,"0"
"Turks and Caicos Islands.POL.2006","Turks and Caicos Islands","POL",2006,"0"
"US Virgin Islands.POL.2006","US Virgin Islands","POL",2006,"0"
"Marshall Islands.POL.2006","Marshall Islands","POL",2006,"0"
"Serbia.POL.2006","Serbia","POL",2006,"0"
"Serbia and Montenegro.POL.2006","Serbia and Montenegro","POL",2006,"5"
"The FYR of Macedonia.POL.2006","The FYR of Macedonia","POL",2006,"0"
"CIS.POL.2006","CIS","POL",2006,"-- 154"
"Belarus.POL.2006","Belarus","POL",2006,"- -1"
"Kazakhstan.POL.2006","Kazakhstan","POL",2006,"0"
"Moldova, Republic of.POL.2006","Moldova, Republic of","POL",2006,"0"
"Russian Federation.POL.2006","Russian Federation","POL",2006,"- -40"
"Ukraine.POL.2006","Ukraine","POL",2006,"-- 114"
"Georgia.POL.2006","Georgia","POL",2006,"0"
"Austria.POL.2007","Austria","POL",2007,"1 199"
"Belgium.POL.2007","Belgium","POL",2007,"465"
"Bulgaria.POL.2007","Bulgaria","POL",2007,"- -4"
"Croatia.POL.2007","Croatia","POL",2007,"- -2"
"Cyprus.POL.2007","Cyprus","POL",2007,"406"
"Czech Republic.POL.2007","Czech Republic","POL",2007,"198"
"Denmark.POL.2007","Denmark","POL",2007,"700"
"Estonia.POL.2007","Estonia","POL",2007,"3"
"Finland.POL.2007","Finland","POL",2007,"433"
"France.POL.2007","France","POL",2007,"2 595"
"Germany.POL.2007","Germany","POL",2007,"4 068"
"Greece.POL.2007","Greece","POL",2007,"0"
"Hungary.POL.2007","Hungary","POL",2007,"44"
"Ireland.POL.2007","Ireland","POL",2007,"642"
"Italy.POL.2007","Italy","POL",2007,"581"
"Latvia.POL.2007","Latvia","POL",2007,"- -1"
"Lithuania.POL.2007","Lithuania","POL",2007,"24"
"Luxembourg.POL.2007","Luxembourg","POL",2007,"1 764"
"Malta.POL.2007","Malta","POL",2007,"871"
"Netherlands.POL.2007","Netherlands","POL",2007,"2 584"
"Portugal.POL.2007","Portugal","POL",2007,"157"
"Romania.POL.2007","Romania","POL",2007,"- -71"
"Slovakia.POL.2007","Slovakia","POL",2007,"32"
"Slovenia.POL.2007","Slovenia","POL",2007,"38"
"Spain.POL.2007","Spain","POL",2007,"779"
"Sweden.POL.2007","Sweden","POL",2007,"1 082"
"United Kingdom.POL.2007","United Kingdom","POL",2007,"883"
"Andorra.POL.2007","Andorra","POL",2007,"0"
"Gibraltar.POL.2007","Gibraltar","POL",2007,"0"
"Guernsey.POL.2007","Guernsey","POL",2007,"0"
"Iceland.POL.2007","Iceland","POL",2007,"1"
"Isle of Man.POL.2007","Isle of Man","POL",2007,"0"
"Jersey.POL.2007","Jersey","POL",2007,"0"
"Liechtenstein.POL.2007","Liechtenstein","POL",2007,"23"
"Norway.POL.2007","Norway","POL",2007,"213"
"Switzerland.POL.2007","Switzerland","POL",2007,"738"
"Canada.POL.2007","Canada","POL",2007,"- -1"
"United States.POL.2007","United States","POL",2007,"1 154"
"Australia.POL.2007","Australia","POL",2007,"91"
"Bermuda.POL.2007","Bermuda","POL",2007,"0"
"Israel.POL.2007","Israel","POL",2007,"41"
"Japan.POL.2007","Japan","POL",2007,"263"
"New Zealand.POL.2007","New Zealand","POL",2007,"- -1"
"Egypt.POL.2007","Egypt","POL",2007,"4"
"Morocco.POL.2007","Morocco","POL",2007,"1"
"Tunisia.POL.2007","Tunisia","POL",2007,"0"
"Cape Verde.POL.2007","Cape Verde","POL",2007,"0"
"Eritrea.POL.2007","Eritrea","POL",2007,"0"
"Kenya.POL.2007","Kenya","POL",2007,"0"
"Mauritius.POL.2007","Mauritius","POL",2007,"0"
"Namibia.POL.2007","Namibia","POL",2007,"0"
"Niger.POL.2007","Niger","POL",2007,"0"
"Seychelles.POL.2007","Seychelles","POL",2007,"0"
"South Africa.POL.2007","South Africa","POL",2007,"8"
"Swaziland.POL.2007","Swaziland","POL",2007,"0"
"China.POL.2007","China","POL",2007,"96"
"Hong Kong, China.POL.2007","Hong Kong, China","POL",2007,"31"
"Korea, Republic of.POL.2007","Korea, Republic of","POL",2007,"35"
"Taiwan Province of China.POL.2007","Taiwan Province of China","POL",2007,"0"
"Indonesia.POL.2007","Indonesia","POL",2007,"7"
"Malaysia.POL.2007","Malaysia","POL",2007,"- -4"
"Philippines.POL.2007","Philippines","POL",2007,"7"
"Singapore.POL.2007","Singapore","POL",2007,"- -60"
"Thailand.POL.2007","Thailand","POL",2007,"13"
"Viet Nam.POL.2007","Viet Nam","POL",2007,"0"
"India.POL.2007","India","POL",2007,"23"
"Iran, Islamic Republic of.POL.2007","Iran, Islamic Republic of","POL",2007,"0"
"Bahrain.POL.2007","Bahrain","POL",2007,"0"
"Kuwait.POL.2007","Kuwait","POL",2007,"0"
"Lebanon.POL.2007","Lebanon","POL",2007,"0"
"Saudi Arabia.POL.2007","Saudi Arabia","POL",2007,"0"
"Syrian Arab Republic.POL.2007","Syrian Arab Republic","POL",2007,"0"
"Turkey.POL.2007","Turkey","POL",2007,"12"
"United Arab Emirates.POL.2007","United Arab Emirates","POL",2007,"0"
"Argentina.POL.2007","Argentina","POL",2007,"1"
"Brazil.POL.2007","Brazil","POL",2007,"- -6"
"Chile.POL.2007","Chile","POL",2007,"1"
"Ecuador.POL.2007","Ecuador","POL",2007,"0"
"Uruguay.POL.2007","Uruguay","POL",2007,"1"
"Venezuela, Bolivarian Rep. of.POL.2007","Venezuela, Bolivarian Rep. of","POL",2007,"1"
"Costa Rica.POL.2007","Costa Rica","POL",2007,"0"
"Mexico.POL.2007","Mexico","POL",2007,"- -6"
"Nicaragua.POL.2007","Nicaragua","POL",2007,"0"
"Panama.POL.2007","Panama","POL",2007,"0"
"Barbados.POL.2007","Barbados","POL",2007,"0"
"British Virgin Islands.POL.2007","British Virgin Islands","POL",2007,"0"
"Cayman Islands.POL.2007","Cayman Islands","POL",2007,"0"
"Netherlands Antilles.POL.2007","Netherlands Antilles","POL",2007,"0"
"Saint Kitts and Nevis.POL.2007","Saint Kitts and Nevis","POL",2007,"0"
"Turks and Caicos Islands.POL.2007","Turks and Caicos Islands","POL",2007,"0"
"US Virgin Islands.POL.2007","US Virgin Islands","POL",2007,"0"
"Marshall Islands.POL.2007","Marshall Islands","POL",2007,"0"
"Serbia.POL.2007","Serbia","POL",2007,"0"
"Serbia and Montenegro.POL.2007","Serbia and Montenegro","POL",2007,"- -2"
"The FYR of Macedonia.POL.2007","The FYR of Macedonia","POL",2007,"0"
"CIS.POL.2007","CIS","POL",2007,"89"
"Belarus.POL.2007","Belarus","POL",2007,"2"
"Kazakhstan.POL.2007","Kazakhstan","POL",2007,"0"
"Moldova, Republic of.POL.2007","Moldova, Republic of","POL",2007,"0"
"Russian Federation.POL.2007","Russian Federation","POL",2007,"-- 335"
"Ukraine.POL.2007","Ukraine","POL",2007,"422"
"Georgia.POL.2007","Georgia","POL",2007,"0"
"Austria.POL.2008","Austria","POL",2008,"719"
"Belgium.POL.2008","Belgium","POL",2008,"842"
"Bulgaria.POL.2008","Bulgaria","POL",2008,"- -2"
"Croatia.POL.2008","Croatia","POL",2008,"2"
"Cyprus.POL.2008","Cyprus","POL",2008,"652"
"Czech Republic.POL.2008","Czech Republic","POL",2008,"- -95"
"Denmark.POL.2008","Denmark","POL",2008,"308"
"Estonia.POL.2008","Estonia","POL",2008,"9"
"Finland.POL.2008","Finland","POL",2008,"325"
"France.POL.2008","France","POL",2008,"652"
"Germany.POL.2008","Germany","POL",2008,"2 729"
"Greece.POL.2008","Greece","POL",2008,"0"
"Hungary.POL.2008","Hungary","POL",2008,"-- 136"
"Ireland.POL.2008","Ireland","POL",2008,"313"
"Italy.POL.2008","Italy","POL",2008,"143"
"Latvia.POL.2008","Latvia","POL",2008,"39"
"Lithuania.POL.2008","Lithuania","POL",2008,"- -64"
"Luxembourg.POL.2008","Luxembourg","POL",2008,"2 059"
"Malta.POL.2008","Malta","POL",2008,"329"
"Netherlands.POL.2008","Netherlands","POL",2008,"2 210"
"Portugal.POL.2008","Portugal","POL",2008,"164"
"Romania.POL.2008","Romania","POL",2008,"- -3"
"Slovakia.POL.2008","Slovakia","POL",2008,"- -21"
"Slovenia.POL.2008","Slovenia","POL",2008,"70"
"Spain.POL.2008","Spain","POL",2008,"393"
"Sweden.POL.2008","Sweden","POL",2008,"1 623"
"United Kingdom.POL.2008","United Kingdom","POL",2008,"455"
"Andorra.POL.2008","Andorra","POL",2008,"0"
"Gibraltar.POL.2008","Gibraltar","POL",2008,"0"
"Guernsey.POL.2008","Guernsey","POL",2008,"0"
"Iceland.POL.2008","Iceland","POL",2008,"635"
"Isle of Man.POL.2008","Isle of Man","POL",2008,"0"
"Jersey.POL.2008","Jersey","POL",2008,"0"
"Liechtenstein.POL.2008","Liechtenstein","POL",2008,"- -68"
"Norway.POL.2008","Norway","POL",2008,"97"
"Switzerland.POL.2008","Switzerland","POL",2008,"151"
"Canada.POL.2008","Canada","POL",2008,"- -9"
"United States.POL.2008","United States","POL",2008,"515"
"Australia.POL.2008","Australia","POL",2008,"29"
"Bermuda.POL.2008","Bermuda","POL",2008,"0"
"Israel.POL.2008","Israel","POL",2008,"62"
"Japan.POL.2008","Japan","POL",2008,"- -46"
"New Zealand.POL.2008","New Zealand","POL",2008,"0"
"Egypt.POL.2008","Egypt","POL",2008,"2"
"Morocco.POL.2008","Morocco","POL",2008,"0"
"Tunisia.POL.2008","Tunisia","POL",2008,"0"
"Cape Verde.POL.2008","Cape Verde","POL",2008,"0"
"Eritrea.POL.2008","Eritrea","POL",2008,"0"
"Kenya.POL.2008","Kenya","POL",2008,"0"
"Mauritius.POL.2008","Mauritius","POL",2008,"0"
"Namibia.POL.2008","Namibia","POL",2008,"0"
"Niger.POL.2008","Niger","POL",2008,"0"
"Seychelles.POL.2008","Seychelles","POL",2008,"0"
"South Africa.POL.2008","South Africa","POL",2008,"- -6"
"Swaziland.POL.2008","Swaziland","POL",2008,"0"
"China.POL.2008","China","POL",2008,"130"
"Hong Kong, China.POL.2008","Hong Kong, China","POL",2008,"- -28"
"Korea, Republic of.POL.2008","Korea, Republic of","POL",2008,"-- 400"
"Taiwan Province of China.POL.2008","Taiwan Province of China","POL",2008,"17"
"Indonesia.POL.2008","Indonesia","POL",2008,"- -15"
"Malaysia.POL.2008","Malaysia","POL",2008,"- -1"
"Philippines.POL.2008","Philippines","POL",2008,"- -7"
"Singapore.POL.2008","Singapore","POL",2008,"- -10"
"Thailand.POL.2008","Thailand","POL",2008,"- -7"
"Viet Nam.POL.2008","Viet Nam","POL",2008,"0"
"India.POL.2008","India","POL",2008,"9"
"Iran, Islamic Republic of.POL.2008","Iran, Islamic Republic of","POL",2008,"0"
"Bahrain.POL.2008","Bahrain","POL",2008,"0"
"Kuwait.POL.2008","Kuwait","POL",2008,"0"
"Lebanon.POL.2008","Lebanon","POL",2008,"0"
"Saudi Arabia.POL.2008","Saudi Arabia","POL",2008,"0"
"Syrian Arab Republic.POL.2008","Syrian Arab Republic","POL",2008,"0"
