"","Jurisdiction","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"124","Luxembourg",8.7,8.8,8.6,8.7,9,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80,80,82,81
"125","Macau",NA,NA,NA,NA,NA,NA,NA,NA,6.6,5.7,5.4,5.3,5,5.11,NA,NA,NA,NA
"126","Macedonia",NA,3.3,NA,NA,NA,2.3,2.7,2.7,2.7,NA,NA,NA,NA,NA,43,44,NA,NA
"127","Macedonia (Former Yugoslav Republic of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA
"128","Madagascar",NA,NA,NA,NA,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3,2.6,3.04,32,28,28,28
"129","Malawi",4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3,37,37,33,31
"130","Malaysia",5.3,5.1,4.8,5,4.9,5.2,5,5.1,5,5.1,5.1,4.5,4.4,4.31,49,50,52,50
"131","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,2.8,2.5,2.3,2.47,NA,NA,NA,NA
"132","Mali",NA,NA,NA,NA,NA,3,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34,28,32,35
"133","Malta",NA,NA,NA,NA,NA,NA,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57,56,55,56
"134","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,3.1,2.6,2.8,2.5,2.3,2.43,31,30,30,31
"135","Mauritius",5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57,52,54,53
"136","Mexico",3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34,34,35,35
"137","Moldova",NA,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,NA,2.9,3.3,2.9,2.88,36,35,35,33
"138","Moldovaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA
"139","Mongolia",NA,4.3,NA,NA,NA,NA,3,3,2.8,3,3,2.7,2.7,2.68,36,38,39,39
"140","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.4,3.9,3.7,3.97,41,44,42,44
"141","Morocco",3.7,4.1,4.7,NA,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37,37,39,36
"142","Mozambique",NA,3.5,2.2,NA,NA,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31,30,31,31
"143","Myanmar",NA,NA,NA,NA,NA,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15,21,21,22
"144","Namibia",5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48,48,49,53
"145","Nepal",NA,NA,NA,NA,NA,NA,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27,31,29,27
"146","Netherlands",9,9,8.9,8.8,9,8.9,8.7,8.6,8.7,9,8.9,8.9,8.8,8.89,84,83,83,87
"147","New Zealand",9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90,91,91,88
"148","Nicaragua",3,3.1,NA,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29,28,28,27
"149","Niger",NA,NA,NA,NA,NA,NA,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33,34,35,34
"150","Nigeria",1.9,1.6,1.2,1,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27,25,27,26
"151","Norway",9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85,86,86,87
"152","Oman",NA,NA,NA,NA,NA,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47,47,45,45
"153","Pakistan",2.7,2.2,NA,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27,28,29,30
"154","Palestine",NA,NA,NA,NA,NA,3,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Palestinian Authority",NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Panama",NA,NA,NA,3.7,3,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38,35,37,39
"157","Papua New Guinea",NA,NA,NA,NA,NA,2.1,2.6,2.3,2.4,2,2,2.1,2.1,2.17,25,25,25,25
"158","Paraguay",1.5,2,NA,NA,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25,24,24,27
"159","Peru",4.5,4.5,4.4,4.1,4,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38,38,38,36
"160","Philippines",3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34,36,38,35
"161","Poland",4.6,4.2,4.1,4.1,4,3.6,3.5,3.4,3.7,4.2,4.6,5,5.3,5.48,58,60,61,62
"162","Portugal",6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6,6.1,63,62,63,63
"163","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,5.8,5.8,5.59,63,62,63,NA
"164","Qatar",NA,NA,NA,NA,NA,5.6,5.2,5.9,6,6,6.5,7,7.7,7.16,68,68,69,71
"165","Romania",3,3.3,2.9,2.8,2.6,2.8,2.9,3,3.1,3.7,3.8,3.8,3.7,3.61,44,43,43,46
"166","Russia",2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29
"167","Rwanda",NA,NA,NA,NA,NA,NA,NA,3.1,2.5,2.8,3,3.3,4,4.98,53,53,49,54
"168","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,7.1,7,NA,7.02,71,71,NA,NA
"169","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6.5,6.4,NA,5.76,62,62,67,NA
"170","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.4,4.5,4.1,3.88,NA,NA,52,NA
"171","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,2.8,3,NA,42,42,42,42
"172","Sao Tome & Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA
"173","Saudi Arabia",NA,NA,NA,NA,NA,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,44,46,49,52
"174","Senegal",3.3,3.4,3.5,2.9,3.1,3.2,3,3.2,3.3,3.6,3.4,3,2.9,2.87,36,41,43,44
"175","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,3,3.4,3.4,3.5,3.5,3.31,39,42,41,40
"176","Serbia and Montenegro",NA,NA,NA,NA,NA,NA,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Serbia & Montenegro",NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Seychelles",NA,NA,NA,NA,NA,NA,4.4,4,3.6,4.5,4.8,4.8,4.8,4.82,52,54,55,55
"179","Sierra Leone",NA,NA,NA,NA,NA,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,31,30,31,29
"180","Singapore",9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,87,86,84,85
"181","Slovakia",NA,NA,NA,NA,NA,3.7,4,4.3,4.7,4.9,5,4.5,4.3,3.97,46,47,50,51
"182","Slovak Republic",3.9,3.7,3.5,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Slovenia",NA,6,5.5,5.2,6,5.9,6,6.1,6.4,6.6,6.7,6.6,6.4,5.87,61,57,58,60
"184","Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.9,2.8,2.8,2.71,NA,NA,NA,NA
"185","Somalia",NA,NA,NA,NA,NA,NA,NA,2.1,NA,1.4,1,1.1,1.1,0.98,8,8,8,8
"186","South Africa",5.2,5,5,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,43,42,44,44
"187","South Korea",4.2,3.8,4,4.2,4.5,4.3,4.5,5,5.1,5.1,5.6,NA,NA,NA,NA,NA,NA,NA
"188","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,15
"189","Spain",6.1,6.6,7,7,7.1,6.9,7.1,7,6.8,6.7,6.5,6.1,6.1,6.23,65,59,60,58
