"","Destination","Dest.Code","Origin","Origin.Code","Year","Value"
"7501","Bulgaria","BGR","Lebanon","LBN",2008,13
"6102","Bulgaria","BGR","Costa Rica","CRI",2009,0
"6111","Bulgaria","BGR","Singapore","SGP",2009,0
"6145","Bulgaria","BGR","Nigeria","NGA",2009,6
"6148","Bulgaria","BGR","Saint Kitts and Nevis","KNA",2009,6
"6159","Bulgaria","BGR","CIS",NA,2009,285
"6167","Bulgaria","BGR","Ireland","IRL",2009,64
"6182","Bulgaria","BGR","Guatemala","GTM",2009,0
"6184","Bulgaria","BGR","Brazil","BRA",2009,0
"6198","Bulgaria","BGR","Denmark","DNK",2009,-32
"6213","Bulgaria","BGR","Panama","PAN",2009,28
"6228","Bulgaria","BGR","The FYR of Macedonia","MKD",2009,-20
"6235","Bulgaria","BGR","Iceland","ISL",2009,2
"6240","Bulgaria","BGR","French Polynesia","PYF",2009,0
"6283","Bulgaria","BGR","Lebanon","LBN",2009,13
"6287","Bulgaria","BGR","Norway","NOR",2009,15
"6292","Bulgaria","BGR","Canada","CAN",2009,1
"6294","Bulgaria","BGR","Montenegro","MNE",2009,0
"6295","Bulgaria","BGR","Turks and Caicos Islands","TCA",2009,0
"6305","Bulgaria","BGR","Anguilla","AIA",2009,-6
"6314","Bulgaria","BGR","Chile","CHL",2009,0
"6341","Bulgaria","BGR","Malaysia","MYS",2009,0
"6345","Bulgaria","BGR","Portugal","PRT",2009,-6
"6349","Bulgaria","BGR","Niger","NER",2009,0
"6363","Bulgaria","BGR","Venezuela, Bolivarian Rep. of","VEN",2009,0
"6371","Bulgaria","BGR","Cayman Islands","CYM",2009,44
"6387","Bulgaria","BGR","Turkey","TUR",2009,75
"6402","Bulgaria","BGR","Bermuda","BMU",2009,0
"6411","Bulgaria","BGR","Azerbaijan","AZE",2009,0
"6443","Bulgaria","BGR","Slovakia","SVK",2009,21
"6456","Bulgaria","BGR","Italy","ITA",2009,60
"6461","Bulgaria","BGR","United States","USA",2009,-61
"6465","Bulgaria","BGR","Uzbekistan","UZB",2009,0
"6466","Bulgaria","BGR","Belarus","BLR",2009,2
"6504","Bulgaria","BGR","Liberia","LBR",2009,0
"6514","Bulgaria","BGR","Egypt","EGY",2009,0
"6517","Bulgaria","BGR","Colombia","COL",2009,0
"6538","Bulgaria","BGR","Jordan","JOR",2009,1
"6540","Bulgaria","BGR","Greece","GRC",2009,304
"6546","Bulgaria","BGR","United Arab Emirates","ARE",2009,1
"6553","Bulgaria","BGR","Antigua and Barbuda","ATG",2009,5
"6558","Bulgaria","BGR","Netherlands Antilles","ANT",2009,152
"6568","Bulgaria","BGR","United Kingdom","GBR",2009,349
"6585","Bulgaria","BGR","Hong Kong, China","HKG",2009,3
"6597","Bulgaria","BGR","Aruba","ABW",2009,0
"6610","Bulgaria","BGR","Morocco","MAR",2009,0
"6613","Bulgaria","BGR","Trinidad and Tobago","TTO",2009,1
"6622","Bulgaria","BGR","Bahamas","BHS",2009,-3
"6627","Bulgaria","BGR","Malta","MLT",2009,-105
"6639","Bulgaria","BGR","Sweden","SWE",2009,22
"6641","Bulgaria","BGR","Sierra Leone","SLE",2009,0
"6650","Bulgaria","BGR","Croatia","HRV",2009,4
"6705","Bulgaria","BGR","Indonesia","IDN",2009,1
"6714","Bulgaria","BGR","Saudi Arabia","SAU",2009,1
"6718","Bulgaria","BGR","Namibia","NAM",2009,-5
"6745","Bulgaria","BGR","Serbia and Montenegro","SRB",2009,0
"6757","Bulgaria","BGR","Dominican Republic","DOM",2009,0
"6759","Bulgaria","BGR","Australia","AUS",2009,28
"6773","Bulgaria","BGR","Georgia","GEO",2009,-4
"6778","Bulgaria","BGR","Argentina","ARG",2009,0
"6782","Bulgaria","BGR","South Africa","ZAF",2009,0
"6783","Bulgaria","BGR","Romania","ROU",2009,133
"6788","Bulgaria","BGR","China","CHN",2009,2
"6823","Bulgaria","BGR","Iran, Islamic Republic of","IRN",2009,0
"6843","Bulgaria","BGR","Hungary","HUN",2009,155
"6860","Bulgaria","BGR","Liechtenstein","LIE",2009,-10
"6862","Bulgaria","BGR","Seychelles","SYC",2009,16
"6905","Bulgaria","BGR","Andorra","AND",2009,0
"6907","Bulgaria","BGR","Poland","POL",2009,7
"6917","Bulgaria","BGR","Viet Nam","VNM",2009,0
"6926","Bulgaria","BGR","Israel","ISR",2009,18
"6951","Bulgaria","BGR","Germany","DEU",2009,377
"6952","Bulgaria","BGR","Bangladesh","BGD",2009,0
"7002","Bulgaria","BGR","Serbia","SRB",2009,28
"7006","Bulgaria","BGR","Bahrain","BHR",2009,0
"7020","Bulgaria","BGR","Bosnia and Herzegovina","BIH",2009,-1
"7022","Bulgaria","BGR","Czech Republic","CZE",2009,101
"7027","Bulgaria","BGR","Slovenia","SVN",2009,6
"7046","Bulgaria","BGR","Japan","JPN",2009,-69
"7047","Bulgaria","BGR","Switzerland","CHE",2009,120
"7048","Bulgaria","BGR","US Virgin Islands","VIR",2009,-3
"7059","Bulgaria","BGR","Russian Federation","RUS",2009,231
"7070","Bulgaria","BGR","Samoa","WSM",2009,1
"7079","Bulgaria","BGR","India","IND",2009,3
"7089","Bulgaria","BGR","British Virgin Islands","VGB",2009,88
"7102","Bulgaria","BGR","Netherlands","NLD",2009,910
"7109","Bulgaria","BGR","Spain","ESP",2009,47
"7147","Bulgaria","BGR","France","FRA",2009,275
"7150","Bulgaria","BGR","Kyrgyzstan","KGZ",2009,0
"7154","Bulgaria","BGR","Korea, Republic of","KOR",2009,14
"7168","Bulgaria","BGR","New Caledonia","NCL",2009,0
"7171","Bulgaria","BGR","Ukraine","UKR",2009,9
"7177","Bulgaria","BGR","Belgium","BEL",2009,96
"7204","Bulgaria","BGR","Kazakhstan","KAZ",2009,3
"7210","Bulgaria","BGR","Marshall Islands","MHL",2009,-12
"7217","Bulgaria","BGR","Isle of Man","IMN",2009,-57
"7220","Bulgaria","BGR","Thailand","THA",2009,0
"7247","Bulgaria","BGR","Gibraltar","GIB",2009,-14
"7263","Bulgaria","BGR","Syrian Arab Republic","SYR",2009,1
"7264","Bulgaria","BGR","Belize","BLZ",2009,5
"7267","Bulgaria","BGR","Albania","ALB",2009,-20
"7294","Bulgaria","BGR","Guernsey","GGY",2009,-1
"7328","Bulgaria","BGR","Monaco","MCO",2009,1
"7332","Bulgaria","BGR","Latvia","LVA",2009,15
"7349","Bulgaria","BGR","Jersey","JEY",2009,-23
"7362","Bulgaria","BGR","Luxembourg","LUX",2009,-965
"7371","Bulgaria","BGR","Armenia","ARM",2009,44
"7376","Bulgaria","BGR","Austria","AUT",2009,587
"7379","Bulgaria","BGR","Moldova, Republic of","MDA",2009,0
"7388","Bulgaria","BGR","Iraq","IRQ",2009,0
"7413","Bulgaria","BGR","Estonia","EST",2009,-9
"7425","Bulgaria","BGR","Guam","GUM",2009,0
"7439","Bulgaria","BGR","Kuwait","KWT",2009,-4
"7440","Bulgaria","BGR","Cyprus","CYP",2009,401
"7441","Bulgaria","BGR","New Zealand","NZL",2009,1
"7465","Bulgaria","BGR","Mexico","MEX",2009,0
"7477","Bulgaria","BGR","Finland","FIN",2009,12
"7483","Bulgaria","BGR","Oman","OMN",2009,2
"7510","Bulgaria","BGR","Lithuania","LTU",2009,-94
"6103","Bulgaria","BGR","Andorra","AND",2010,0
"6115","Bulgaria","BGR","United Kingdom","GBR",2010,-342
"6124","Bulgaria","BGR","Aruba","ABW",2010,0
"6139","Bulgaria","BGR","Hong Kong, China","HKG",2010,0
"6146","Bulgaria","BGR","Lithuania","LTU",2010,16
"6160","Bulgaria","BGR","Poland","POL",2010,48
"6175","Bulgaria","BGR","Liechtenstein","LIE",2010,42
"6176","Bulgaria","BGR","Guatemala","GTM",2010,0
"6178","Bulgaria","BGR","Gibraltar","GIB",2010,11
"6186","Bulgaria","BGR","Israel","ISR",2010,-51
"6200","Bulgaria","BGR","Jersey","JEY",2010,-7
"6206","Bulgaria","BGR","China","CHN",2010,7
"6210","Bulgaria","BGR","Iran, Islamic Republic of","IRN",2010,0
"6234","Bulgaria","BGR","Bosnia and Herzegovina","BIH",2010,0
"6244","Bulgaria","BGR","Korea, Republic of","KOR",2010,38
"6258","Bulgaria","BGR","Isle of Man","IMN",2010,-16
"6262","Bulgaria","BGR","Belarus","BLR",2010,1
"6274","Bulgaria","BGR","Dominican Republic","DOM",2010,-1
"6278","Bulgaria","BGR","Brazil","BRA",2010,-1
"6328","Bulgaria","BGR","Italy","ITA",2010,94
"6333","Bulgaria","BGR","Turkey","TUR",2010,32
"6380","Bulgaria","BGR","Syrian Arab Republic","SYR",2010,2
"6389","Bulgaria","BGR","Netherlands Antilles","ANT",2010,-76
"6403","Bulgaria","BGR","Costa Rica","CRI",2010,0
"6422","Bulgaria","BGR","Egypt","EGY",2010,0
"6434","Bulgaria","BGR","Bermuda","BMU",2010,0
"6438","Bulgaria","BGR","Thailand","THA",2010,1
